dg_id,player_name,ppi,teetime,first_tee_time_in_group,sg_total,score,event_name,wave_average,course_factor_star,category,ppi_sg_diff
7900,"Haas, Bill",-1.1435538213511824,2025-05-11T11:23:00.000000,2023-06-09T13:21:00.000000,-1.0629799999999998,74,ONEflight Myrtle Beach Classic,69.43478260869566,0.0,Mule,-0.08057382135118263
7955,"Watney, Nick",-1.086746730862602,2025-05-11T09:55:00.000000,2023-11-09T07:45:00.000000,-1.0371199999999998,72,ONEflight Myrtle Beach Classic,69.43478260869566,0.0,Mule,-0.049626730862602164
7960,"List, Luke",-0.38616213568251057,2025-06-29T10:20:00.000000,2024-11-10T07:50:00.000000,-0.49768,70,Rocket Classic,70.19354838709677,0.9565217043034202,Gamer,0.11151786431748945
7961,"Reavie, Chez",-0.13638583749999178,2025-05-09T08:41:00.000000,2024-07-13T14:40:00.000000,-0.38640000000000013,69,ONEflight Myrtle Beach Classic,70.34848484848484,0.0,Gamer,0.25001416250000835
8469,"Armour, Ryan",-0.8528032203814083,2025-04-18T13:45:00.000000,2023-05-06T08:15:00.000000,-0.98658,72,Corales Puntacana Championship,71.5,2.087664804999029,Gamer,0.1337767796185917
8480,"Streelman, Kevin",-0.18022114270867912,2025-02-09T09:47:00.000000,2024-06-28T13:38:00.000000,-0.30732000000000004,74,WM Phoenix Open,69.8051948051948,1.183005686097425,Gamer,0.12709885729132092
8820,"Snedeker, Brandt",0.22832093173208795,2025-06-27T13:27:00.000000,2024-09-14T12:35:00.000000,0.05777999999999995,71,Rocket Classic,70.37179487179488,0.9565217043034202,Proper Player,0.170540931732088
8825,"Harman, Brian",0.2337133978828886,2025-06-22T12:45:00.000000,2025-02-08T10:28:00.000000,0.3053600000000001,68,Travelers Championship,69.21875,1.4004847736410446,Imposter,-0.07164660211711146
9171,"Villegas, Camilo",-0.29678491904752985,2025-06-29T07:25:00.000000,2024-11-15T07:44:00.000000,-0.42666000000000004,70,Rocket Classic,70.19354838709677,0.9565217043034202,Gamer,0.1298750809524702
9586,"Laird, Martin",-0.40973871420192076,2025-05-02T08:07:00.000000,2024-06-27T06:45:00.000000,-0.3221800000000002,68,THE CJ CUP Byron Nelson,68.98701298701299,0.9855580142386179,Mule,-0.08755871420192057
9771,"Day, Jason",0.814412701294943,2025-06-22T12:45:00.000000,2024-12-05T11:52:00.000000,0.6800400000000001,68,Travelers Championship,69.21875,1.4004847736410446,Proper Player,0.13437270129494294
10091,"McIlroy, Rory",1.9360297087255811,2025-06-22T12:34:00.000000,2024-08-22T11:10:00.000000,1.62982,65,Travelers Championship,69.21875,1.4004847736410446,Proper Player,0.30620970872558106
10104,"Power, Seamus",0.07414698060868212,2025-06-27T12:54:00.000000,2024-10-27T09:20:00.000000,0.06876000000000004,71,Rocket Classic,70.37179487179488,0.9565217043034202,Proper Player,0.0053869806086820765
10419,"Noren, Alex",0.6561137183975756,2025-06-27T12:10:00.000000,2024-05-30T07:07:00.000000,0.30892000000000003,70,Rocket Classic,70.37179487179488,0.9565217043034202,Proper Player,0.34719371839757557
10423,"Brehm, Ryan",-1.1321901953358697,2025-06-27T07:07:00.000000,2024-03-30T11:30:00.000000,-1.44474,71,Rocket Classic,68.87179487179488,0.9565217043034202,Gamer,0.3125498046641302
10873,"Skinns, David",-0.5377461543803281,2025-06-29T07:16:00.000000,2024-11-10T08:56:00.000000,-0.41042000000000006,70,Rocket Classic,70.19354838709677,0.9565217043034202,Mule,-0.12732615438032807
10943,"Lashley, Nate",-0.3456531133268129,2025-06-27T06:56:00.000000,2024-11-09T08:45:00.000000,-0.47038,67,Rocket Classic,68.87179487179488,0.9565217043034202,Gamer,0.1247268866731871
11049,"Simpson, Webb",0.10265712191054417,2025-06-29T08:55:00.000000,2024-04-20T09:35:00.000000,0.04749999999999998,70,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.05515712191054419
11276,"Horschel, Billy",0.27673635821942394,2025-04-20T11:50:00.000000,2024-08-15T08:55:00.000000,0.2446399999999999,70,RBC Heritage,69.625,1.6390111991210516,Proper Player,0.032096358219424026
11328,"Kisner, Kevin",-1.0956325796620439,2025-06-27T08:13:00.000000,2024-06-28T07:51:00.000000,-1.13994,71,Rocket Classic,68.87179487179488,0.9565217043034202,Gamer,0.044307420337956094
11374,"Hahn, James",-0.7504436341427825,2025-06-13T14:20:00.000000,2024-02-22T13:10:00.000000,-0.7096399999999999,75,U.S. Open,75.14285714285714,3.353853982792206,Mule,-0.04080363414278254
11451,"Garnett, Brice",-0.216201887815096,2025-06-27T13:05:00.000000,2024-10-17T12:51:00.000000,0.0803199999999999,68,Rocket Classic,70.37179487179488,0.9565217043034202,Imposter,-0.2965218878150959
11460,"Manassero, Matteo",0.7239328656622941,2025-06-08T13:45:00.000000,2024-07-11T13:21:00.000000,0.56368,69,RBC Canadian Open,68.04545454545455,1.6077662621636581,Proper Player,0.16025286566229413
11657,"Norlander, Henrik",0.4145088304193562,2025-06-29T07:57:00.000000,2025-01-17T09:03:00.000000,0.31109999999999993,69,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.10340883041935628
11676,"Finau, Tony",0.16366056180821237,2025-06-22T12:34:00.000000,2025-01-23T10:29:00.000000,0.06269999999999998,76,Travelers Championship,69.21875,1.4004847736410446,Proper Player,0.10096056180821239
11889,"Fox, Ryan",0.885706933819004,2025-06-22T10:55:00.000000,2025-02-20T08:36:00.000000,0.95888,66,Travelers Championship,69.62857142857143,1.4004847736410446,Imposter,-0.07317306618099595
12169,"Gainey, Tommy",-0.9919411972731524,2025-04-20T10:05:00.000000,2023-06-08T12:37:00.000000,-0.9912399999999999,76,Corales Puntacana Championship,73.28,2.087664804999029,Mule,-0.0007011972731525429
12294,"Fleetwood, Tommy",1.2262465616318672,2025-06-22T12:56:00.000000,2025-02-13T10:58:00.000000,1.4487,72,Travelers Championship,69.21875,1.4004847736410446,Imposter,-0.22245343836813292
12423,"Kirk, Chris",0.1422648758332504,2025-06-29T13:35:00.000000,2025-01-16T09:14:00.000000,0.22949999999999995,67,Rocket Classic,68.79166666666667,0.9565217043034202,Imposter,-0.08723512416674956
12425,"Todd, Brendon",-0.9978228547406661,2025-02-28T06:56:00.000000,2024-06-27T07:18:00.000000,-0.9406,76,Cognizant Classic in The Palm Beaches,69.5,1.271482514347666,Mule,-0.05722285474066613
12477,"McGirt, William",0.005659803146808292,2025-03-07T11:52:00.000000,2023-07-15T07:07:00.000000,-0.13823999999999992,72,Puerto Rico Open,69.87951807228916,0.0,Gamer,0.1438998031468082
12577,"Woodland, Gary",0.0065959540385342255,2025-06-29T09:50:00.000000,2025-02-01T08:23:00.000000,0.12970000000000012,71,Rocket Classic,70.19354838709677,0.9565217043034202,Imposter,-0.1231040459614659
12808,"Grillo, Emiliano",0.5616152922953977,2025-06-29T10:00:00.000000,2025-02-08T11:01:00.000000,0.4294599999999999,75,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.13215529229539785
12846,"Herman, Jim",-1.8126393642409853,2025-03-07T06:56:00.000000,2023-05-11T12:33:00.000000,-1.6314,71,Puerto Rico Open,69.87951807228916,0.0,Mule,-0.1812393642409853
12909,"Campos, Rafael",-1.5347824285015192,2025-06-27T07:51:00.000000,2025-01-10T07:40:00.000000,-1.3139600000000002,69,Rocket Classic,68.87179487179488,0.9565217043034202,Mule,-0.220822428501519
12920,"Willett, Danny",-0.028079586914529997,2025-06-27T07:07:00.000000,2023-07-23T07:45:00.000000,-0.11028000000000007,71,Rocket Classic,68.87179487179488,0.9565217043034202,Gamer,0.08220041308547008
12965,"Fowler, Rickie",-0.13964530417010013,2025-06-27T13:05:00.000000,2025-01-19T09:44:00.000000,-0.05370000000000005,71,Rocket Classic,70.37179487179488,0.9565217043034202,Mule,-0.08594530417010007
13022,"Stuard, Brian",-1.1742919190815666,2025-04-20T07:50:00.000000,2023-04-27T11:50:00.000000,-1.0867399999999998,76,Corales Puntacana Championship,73.28,2.087664804999029,Mule,-0.08755191908156679
13126,"Taylor, Nick",0.5822132745383938,2025-06-22T12:23:00.000000,2025-01-30T09:40:00.000000,0.6497799999999999,71,Travelers Championship,69.21875,1.4004847736410446,Imposter,-0.06756672546160614
13127,"Tway, Kevin",-0.11436183731664176,2025-05-09T13:21:00.000000,2024-07-04T12:16:00.000000,-0.37728000000000006,77,ONEflight Myrtle Beach Classic,70.86363636363636,0.0,Gamer,0.2629181626833583
13305,"Chappell, Kevin",0.25485270652072695,2025-04-18T12:33:00.000000,2024-04-06T10:15:00.000000,0.05831999999999997,71,Corales Puntacana Championship,71.5,2.087664804999029,Proper Player,0.19653270652072696
13367,"Merritt, Troy",-0.5753922438061572,2025-05-09T09:58:00.000000,2024-05-11T08:35:00.000000,-0.6728400000000001,75,ONEflight Myrtle Beach Classic,70.34848484848484,0.0,Gamer,0.09744775619384294
